Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2026-04-17 14:24:00+00:00,200.20509338378906,200.32000732421875,200.00999450683594,200.19000244140625,514904
2026-04-17 14:25:00+00:00,199.98500061035156,200.3699951171875,199.9199981689453,200.2100067138672,1036433
2026-04-17 14:26:00+00:00,199.89999389648438,200.08999633789062,199.7957000732422,199.99000549316406,509898
2026-04-17 14:27:00+00:00,199.97999572753906,200.0500030517578,199.8000030517578,199.90499877929688,685127
2026-04-17 14:28:00+00:00,200.26499938964844,200.27000427246094,199.97000122070312,199.97500610351562,533263
2026-04-17 14:29:00+00:00,200.375,200.44000244140625,200.25999450683594,200.25999450683594,427058
2026-04-17 14:30:00+00:00,200.55990600585938,200.69000244140625,200.3699951171875,200.375,684130
2026-04-17 14:31:00+00:00,200.6107940673828,200.6699981689453,200.5,200.55999755859375,414203
2026-04-17 14:32:00+00:00,200.4600067138672,200.69000244140625,200.4499969482422,200.61000061035156,400639
2026-04-17 14:33:00+00:00,200.65499877929688,200.67999267578125,200.35000610351562,200.4799041748047,466792
2026-04-17 14:34:00+00:00,200.6300048828125,200.72999572753906,200.58999633789062,200.66000366210938,378674
2026-04-17 14:35:00+00:00,200.36500549316406,200.63009643554688,200.24000549316406,200.6300048828125,517739
2026-04-17 14:36:00+00:00,200.50509643554688,200.50509643554688,200.32000732421875,200.360107421875,226762
2026-04-17 14:37:00+00:00,200.4199981689453,200.5800018310547,200.3699951171875,200.50010681152344,324116
2026-04-17 14:38:00+00:00,200.5500030517578,200.5565948486328,200.39999389648438,200.41000366210938,255195
2026-04-17 14:39:00+00:00,200.71499633789062,200.72999572753906,200.46009826660156,200.5399932861328,345512
2026-04-17 14:40:00+00:00,200.74000549316406,200.91000366210938,200.61000061035156,200.72000122070312,565322
2026-04-17 14:41:00+00:00,200.80999755859375,200.8800048828125,200.74989318847656,200.74989318847656,348871
2026-04-17 14:42:00+00:00,200.77000427246094,200.89999389648438,200.75,200.81500244140625,252280
2026-04-17 14:43:00+00:00,200.60499572753906,200.8000030517578,200.57000732421875,200.7899932861328,237169
2026-04-17 14:44:00+00:00,200.625,200.6699981689453,200.5399932861328,200.60960388183594,316760
2026-04-17 14:45:00+00:00,200.65499877929688,200.72000122070312,200.5500030517578,200.63999938964844,304282
2026-04-17 14:46:00+00:00,200.59500122070312,200.7100067138672,200.52999877929688,200.6649932861328,237179
2026-04-17 14:47:00+00:00,200.63499450683594,200.69000244140625,200.52999877929688,200.59500122070312,172379
2026-04-17 14:48:00+00:00,200.72500610351562,200.81700134277344,200.55999755859375,200.61500549316406,230433
2026-04-17 14:49:00+00:00,200.7899932861328,200.8551025390625,200.72000122070312,200.72500610351562,203843
2026-04-17 14:50:00+00:00,200.59500122070312,200.8699951171875,200.55050659179688,200.78500366210938,345022
2026-04-17 14:51:00+00:00,200.5800018310547,200.71499633789062,200.5605926513672,200.58999633789062,202225
2026-04-17 14:52:00+00:00,200.49000549316406,200.67990112304688,200.4600067138672,200.58009338378906,263681
2026-04-17 14:53:00+00:00,200.5198974609375,200.5198974609375,200.35000610351562,200.5,249059
2026-04-17 14:54:00+00:00,200.36000061035156,200.60000610351562,200.2899932861328,200.50999450683594,287889
2026-04-17 14:55:00+00:00,200.0399932861328,200.35000610351562,200.02999877929688,200.35000610351562,441778
2026-04-17 14:56:00+00:00,200.50999450683594,200.5399932861328,200.02000427246094,200.0399932861328,467143
2026-04-17 14:57:00+00:00,200.57000732421875,200.6750030517578,200.50999450683594,200.51060485839844,401671
2026-04-17 14:58:00+00:00,200.4149932861328,200.58999633789062,200.3800048828125,200.5749969482422,201618
2026-04-17 14:59:00+00:00,200.27999877929688,200.41510009765625,200.1999969482422,200.41000366210938,328425
2026-04-17 15:00:00+00:00,200.3000030517578,200.32000732421875,200.1199951171875,200.3199005126953,256776
2026-04-17 15:01:00+00:00,200.38999938964844,200.41000366210938,200.28219604492188,200.31900024414062,217955
2026-04-17 15:02:00+00:00,200.55999755859375,200.58990478515625,200.36000061035156,200.3800048828125,241521
2026-04-17 15:03:00+00:00,200.4499053955078,200.6199951171875,200.3300018310547,200.57000732421875,476554
2026-04-17 15:04:00+00:00,200.52000427246094,200.54010009765625,200.3300018310547,200.44500732421875,270707
2026-04-17 15:05:00+00:00,200.74009704589844,200.77000427246094,200.4801025390625,200.5399932861328,327072
2026-04-17 15:06:00+00:00,200.88499450683594,200.88999938964844,200.69000244140625,200.7449951171875,296524
2026-04-17 15:07:00+00:00,200.7606964111328,200.9199981689453,200.74000549316406,200.88499450683594,283342
2026-04-17 15:08:00+00:00,200.8300018310547,200.8300018310547,200.72000122070312,200.76019287109375,220038
2026-04-17 15:09:00+00:00,200.87010192871094,200.88499450683594,200.75,200.8300018310547,229320
2026-04-17 15:10:00+00:00,200.88999938964844,200.99000549316406,200.84500122070312,200.8699951171875,387239
2026-04-17 15:11:00+00:00,200.7100067138672,200.89999389648438,200.66000366210938,200.89010620117188,299284
2026-04-17 15:12:00+00:00,200.6959991455078,200.80979919433594,200.66000366210938,200.72000122070312,207980
2026-04-17 15:13:00+00:00,200.67599487304688,200.78500366210938,200.5850067138672,200.69000244140625,318401
2026-04-17 15:14:00+00:00,200.72999572753906,200.77999877929688,200.64500427246094,200.67999267578125,189415
2026-04-17 15:15:00+00:00,200.75,200.8699951171875,200.6999969482422,200.72999572753906,222970
2026-04-17 15:16:00+00:00,200.7899932861328,200.8800048828125,200.75,200.75,207795
2026-04-17 15:17:00+00:00,200.72999572753906,200.80499267578125,200.69500732421875,200.7801971435547,181846
2026-04-17 15:18:00+00:00,200.55499267578125,200.72000122070312,200.5,200.71499633789062,225335
